test,sum_gbps
host_to_device_memcpy_ce,55.58
device_to_host_memcpy_ce,57.39
host_to_device_bidirectional_memcpy_ce,49.47
device_to_host_bidirectional_memcpy_ce,50.83
all_to_host_memcpy_ce,57.39
all_to_host_bidirectional_memcpy_ce,50.82
host_to_all_memcpy_ce,55.57
host_to_all_bidirectional_memcpy_ce,49.5
host_to_device_memcpy_sm,51.68
device_to_host_memcpy_sm,52.85
host_to_device_bidirectional_memcpy_sm,40.56
device_to_host_bidirectional_memcpy_sm,40.64
all_to_host_memcpy_sm,52.85
all_to_host_bidirectional_memcpy_sm,40.58
host_to_all_memcpy_sm,51.68
host_to_all_bidirectional_memcpy_sm,40.57
host_device_latency_sm,1501.46
device_local_copy,2709.76
